Column1,Column2,Column3,Column4,Column5,列1,列2,列3,列4,列5,Column11,Column12,Column13,Column14
key,en,zh,zh-tw,ja,,,,,,,,,
AI OCR 设置,AI OCR Settings,AI OCR 设置,AI OCR 設置,AI OCR 設定,,,,,,,,,
纯文字识别 Prompt,Text-only OCR Prompt,纯文字识别 Prompt,純文字識別 Prompt,テキストのみOCRプロンプト,,,,,,,,,
纯文字识别模式的提示词模板，{language}会被替换为当前识别语言。留空则使用默认模板。,Prompt template for text-only mode. {language} will be replaced with the current recognition language. Leave empty to use the default template.,纯文字识别模式的提示词模板，{language}会被替换为当前识别语言。留空则使用默认模板。,純文字識別模式的提示詞模板，{language}會被替換為當前識別語言。留空則使用默認模板。,テキストのみモードのプロンプトテンプレート。{language}は現在の認識言語に置換されます。空欄の場合はデフォルトテンプレートを使用します。,,,,,,,,,
含坐标识别 Prompt,OCR Prompt with Coordinates,含坐标识别 Prompt,含坐標識別 Prompt,座標付きOCRプロンプト,,,,,,,,,
含坐标识别模式的提示词模板，{language}会被替换为当前识别语言。留空则使用默认模板。,Prompt template for coordinate mode. {language} will be replaced with the current recognition language. Leave empty to use the default template.,含坐标识别模式的提示词模板，{language}会被替换为当前识别语言。留空则使用默认模板。,含坐標識別模式的提示詞模板，{language}會被替換為當前識別語言。留空則使用默認模板。,座標付きモードのプロンプトテンプレート。{language}は現在の認識言語に置換されます。空欄の場合はデフォルトテンプレートを使用します。,,,,,,,,,
当前AI服务商,Current AI Provider,当前AI服务商,當前AI服務商,現在のAIプロバイダー,,,,,,,,,
选择当前要使用的AI服务商。所有服务商的配置都会保存，切换时无需重新输入。,Select the current AI service provider to use. All provider configurations are saved and switching doesn't require re-entering credentials.,选择当前要使用的AI服务商。所有服务商的配置都会保存，切换时无需重新输入。,選擇當前要使用的AI服務商。所有服務商的配置都會保存，切換時無需重新輸入。,現在使用するAIサービスプロバイダーを選択してください。すべてのプロバイダー設定が保存され、切り替え時に再入力は不要です。,,,,,,,,,
跟随全局设置,Follow Global Setting,跟随全局设置,跟隨全局設置,グローバル設定に従う,,,,,,,,,
选择当前AI服务商。默认跟随全局设置，也可在此直接切换（切换后全局设置同步更新）。,Select the current AI provider. Defaults to global setting; you can also switch here (global setting will be synced).,选择当前AI服务商。默认跟随全局设置，也可在此直接切换（切换后全局设置同步更新）。,選擇當前AI服務商。默認跟隨全局設置，也可在此直接切換（切換後全局設置同步更新）。,現在のAIプロバイダーを選択。デフォルトはグローバル設定に従います。ここで切り替えも可能（グローバル設定と同期）。,,,,,,,,,
请求超时,Request Timeout,请求超时,請求超時,リクエストタイムアウト,,,,,,,,,
秒,seconds,秒,秒,秒,,,,,,,,,
API请求的超时时间。,Timeout duration for API requests.,API请求的超时时间。,API請求的超時時間。,APIリクエストのタイムアウト時間。,,,,,,,,,
阿里云百炼 API密钥,Alibaba API Key,阿里云百炼 API密钥,阿里雲百煉 API密鑰,Alibaba APIキー,,,,,,,,,
请输入阿里云百炼的API密钥,Please enter Alibaba API key,请输入阿里云百炼的API密钥,請輸入阿里雲百煉的API密鑰,AlibabaのAPIキーを入力してください,,,,,,,,,
阿里云百炼 模型,Alibaba Model,阿里云百炼 模型,阿里雲百煉 模型,Alibaba モデル,,,,,,,,,
阿里云百炼模型名称，如：qwen3-vl-235b-a22b-instruct,Alibaba model name such as: qwen3-vl-235b-a22b-instruct,阿里云百炼模型名称，如：qwen3-vl-235b-a22b-instruct,阿里雲百煉模型名稱，如：qwen3-vl-235b-a22b-instruct,Alibabaモデル名、例：qwen3-vl-235b-a22b-instruct,,,,,,,,,
豆包 API密钥,Doubao API Key,豆包 API密钥,豆包 API密鑰,Doubao APIキー,,,,,,,,,
请输入豆包的API密钥,Please enter Doubao API key,请输入豆包的API密钥,請輸入豆包的API密鑰,DoubaoのAPIキーを入力してください,,,,,,,,,
豆包 模型,Doubao Model,豆包 模型,豆包 模型,Doubao モデル,,,,,,,,,
豆包模型名称，如：doubao-seed-1-6-250615,Doubao model name such as: doubao-seed-1-6-250615,豆包模型名称，如：doubao-seed-1-6-250615,豆包模型名稱，如：doubao-seed-1-6-250615,Doubaoモデル名、例：doubao-seed-1-6-250615,,,,,,,,,
Gemini API密钥,Gemini API Key,Gemini API密钥,Gemini API密鑰,Gemini APIキー,,,,,,,,,
请输入Google Gemini的API密钥,Please enter Google Gemini API key,请输入Google Gemini的API密钥,請輸入Google Gemini的API密鑰,Google GeminiのAPIキーを入力してください,,,,,,,,,
Gemini 模型,Gemini Model,Gemini 模型,Gemini 模型,Gemini モデル,,,,,,,,,
Gemini模型名称，如：gemini-2.5-flash, gemini-1.5-pro,Gemini model name such as: gemini-2.5-flash, gemini-1.5-pro,Gemini模型名称，如：gemini-2.5-flash,,,,,,,,,
OpenAI API密钥,OpenAI API Key,OpenAI API密钥,OpenAI API密鑰,OpenAI APIキー,,,,,,,,,
请输入OpenAI的API密钥,Please enter OpenAI API key,请输入OpenAI的API密钥,請輸入OpenAI的API密鑰,OpenAIのAPIキーを入力してください,,,,,,,,,
OpenAI 模型,OpenAI Model,OpenAI 模型,OpenAI 模型,OpenAI モデル,,,,,,,,,
OpenAI模型名称，如：gpt-5-mini, gpt-4o,OpenAI model name such as: gpt-5-mini, gpt-4o,OpenAI模型名称，如：gpt-5-mini,,,,,,,,,
OpenRouter API密钥,OpenRouter API Key,OpenRouter API密钥,OpenRouter API密鑰,OpenRouter APIキー,,,,,,,,,
请输入OpenRouter的API密钥,Please enter OpenRouter API key,请输入OpenRouter的API密钥,請輸入OpenRouter的API密鑰,OpenRouterのAPIキーを入力してください,,,,,,,,,
OpenRouter 模型,OpenRouter Model,OpenRouter 模型,OpenRouter 模型,OpenRouter モデル,,,,,,,,,
OpenRouter模型名称，如：qwen/qwen2.5-vl-72b-instruct:free,qwen/qwen2.5-vl-72b-instruct:free,OpenRouter model name such as: qwen/qwen2.5-vl-72b-instruct:free,qwen/qwen2.5-vl-72b-instruct:free,OpenRouter模型名称，如：qwen/qwen2.5-vl-72b-instruct:free,,,,,,,,,
硅基流动 API密钥,SiliconFlow API Key,硅基流动 API密钥,硅基流動 API密鑰,SiliconFlow APIキー,,,,,,,,,
请输入硅基流动的API密钥,Please enter SiliconFlow API key,请输入硅基流动的API密钥,請輸入硅基流動的API密鑰,SiliconFlowのAPIキーを入力してください,,,,,,,,,
硅基流动 模型,SiliconFlow Model,硅基流动 模型,硅基流動 模型,SiliconFlow モデル,,,,,,,,,
硅基流动模型名称，如：Qwen/Qwen2.5-VL-72B-Instruct, Qwen/Qwen2.5-VL-72B-Instruct,SiliconFlow model name such as: Qwen/Qwen2.5-VL-72B-Instruct, Qwen/Qwen2.5-VL-72B-Instruct,硅基流动模型名称，如：Qwen/Qwen2.5-VL-72B-Instruct,,,,,,,,,
xAI API密钥,xAI API Key,xAI API密钥,xAI API密鑰,xAI APIキー,,,,,,,,,
请输入xAI的API密钥,Please enter xAI API key,请输入xAI的API密钥,請輸入xAI的API密鑰,xAIのAPIキーを入力してください,,,,,,,,,
xAI 模型,xAI Model,xAI 模型,xAI 模型,xAI モデル,,,,,,,,,
xAI模型名称，如：grok-4,xAI model name such as: grok-4,xAI模型名称，如：grok-4,xAI模型名稱，如：grok-4,xAIモデル名、例：grok-4,,,,,,,,,
智谱AI API密钥,ZhipuAI API Key,智谱AI API密钥,智譜AI API密鑰,ZhipuAI APIキー,,,,,,,,,
请输入智谱AI的API密钥,Please enter ZhipuAI API key,请输入智谱AI的API密钥,請輸入智譜AI的API密鑰,ZhipuAIのAPIキーを入力してください,,,,,,,,,
智谱AI 模型,ZhipuAI Model,智谱AI 模型,智譜AI 模型,ZhipuAI モデル,,,,,,,,,
智谱AI模型名称，如：glm-4.5v,ZhipuAI model name such as: glm-4.5v,智谱AI模型名称，如：glm-4.5v,智譜AI模型名稱，如：glm-4.5v,ZhipuAIモデル名、例：glm-4.5v,,,,,,,,,
GLM-OCR API密钥,GLM-OCR API Key,GLM-OCR API密钥,GLM-OCR API密鑰,GLM-OCR APIキー,,,,,,,,,
请输入GLM-OCR的API密钥,Please enter GLM-OCR API key,请输入GLM-OCR的API密钥,請輸入GLM-OCR的API密鑰,GLM-OCRのAPIキーを入力してください,,,,,,,,,
GLM-OCR 模型,GLM-OCR Model,GLM-OCR 模型,GLM-OCR 模型,GLM-OCR モデル,,,,,,,,,
GLM-OCR模型名称，如：glm-ocr,GLM-OCR model name such as: glm-ocr,GLM-OCR模型名称，如：glm-ocr,GLM-OCR模型名稱，如：glm-ocr,GLM-OCRモデル名、例：glm-ocr,,,,,,,,,
LM Studio API地址,LM Studio API URL,LM Studio API地址,LM Studio API位址,LM Studio API URL,,,,,,,,,
LM Studio服务地址，如：http://localhost:1234/v1 或 http://192.168.1.100:1234/v1,LM Studio service URL, e.g., http://localhost:1234/v1 or http://192.168.1.100:1234/v1,LM Studio服務地址，如：http://localhost:1234/v1 或 http://192.168.1.100:1234/v1,,,,,,,,,
LM Studio API密钥,LM Studio API Key,LM Studio API密钥,LM Studio API金鑰,LM Studio APIキー,,,,,,,,,
LM Studio本地API密钥（可选，本地服务通常不需要）,LM Studio local API key (optional, usually not needed for local services),LM Studio本地API金鑰（可選，本地服務通常不需要）,LM StudioローカルAPIキー（オプション、ローカルサービスでは通常不要）,,,,,,,,,
LM Studio 模型,LM Studio Model,LM Studio 模型,LM Studio 模型,LM Studio モデル,,,,,,,,,
LM Studio模型名称，如：llava, llava-1.5-7b-hf,LM Studio model name, e.g., llava,,,,,,,,,
Ollama API地址,Ollama API URL,Ollama API地址,Ollama API位址,Ollama API URL,,,,,,,,,
Ollama服务地址，如：http://localhost:11434/api 或 http://192.168.1.100:11434/api,Ollama service URL, e.g., http://localhost:11434/api or http://192.168.1.100:11434/api,Ollama服務位址，如：http://localhost:11434/api 或 http://192.168.1.100:11434/api,,,,,,,,,
Ollama API密钥,Ollama API Key,Ollama API密钥,Ollama API金鑰,Ollama APIキー,,,,,,,,,
Ollama本地API密钥（可选，本地服务通常不需要）,Ollama local API key (optional, usually not needed for local services),Ollama本地API金鑰（可選，本地服務通常不需要）,OllamaローカルAPIキー（オプション、ローカルサービスでは通常不要）,,,,,,,,,
Ollama 模型,Ollama Model,Ollama 模型,Ollama 模型,Ollama モデル,,,,,,,,,
Ollama模型名称，如：llava, llava:7b, bakllava,Ollama model name, e.g.,,,,,, bakllava,Ollamaモデル名、例：llava, llava:7b, bakllava
Groq API密钥,Groq API Key,Groq API密钥,Groq API金鑰,Groq APIキー,,,,,,,,,
请输入Groq的API密钥,Please enter Groq API key,請輸入Groq的API金鑰,GroqのAPIキーを入力してください,,,,,,,,,,
Groq 模型,Groq Model,Groq 模型,Groq 模型,Groq モデル,,,,,,,,,
Groq模型名称，如：llama-3.3-70b-versatile, gemma2-9b-it,Groq model name, e.g., llama-3.3-70b-versatile,,,,,,,,,
腾讯混元 API密钥,Tencent Hunyuan API Key,腾讯混元 API密钥,騰訊混元 API金鑰,Tencent Hunyuan APIキー,,,,,,,,,
请输入腾讯混元的API密钥,Please enter Tencent Hunyuan API key,請輸入騰訊混元的API金鑰,Tencent HunyuanのAPIキーを入力してください,,,,,,,,,,
腾讯混元 模型,Tencent Hunyuan Model,腾讯混元 模型,騰訊混元 模型,Tencent Hunyuan モデル,,,,,,,,,
腾讯混元视觉模型名称，如：hy-vision-2.0-instruct, hunyuan-t1-vision-20250916, youtu-vita,"Tencent Hunyuan vision model name, e.g., hy-vision-2.0-instruct, hunyuan-t1-vision-20250916, youtu-vita",騰訊混元視覺模型名稱，如：hy-vision-2.0-instruct, hunyuan-t1-vision-20250916, youtu-vita,,,,,,,,,
腾讯混元 (Hunyuan),Tencent Hunyuan,腾讯混元 (Hunyuan),騰訊混元 (Hunyuan),Tencent Hunyuan,,,,,,,,,
Mistral API密钥,Mistral API Key,Mistral API密钥,Mistral API金鑰,Mistral APIキー,,,,,,,,,
请输入Mistral的API密钥,Please enter Mistral API key,請輸入Mistral的API金鑰,MistralのAPIキーを入力してください,,,,,,,,,,
Mistral 模型,Mistral Model,Mistral 模型,Mistral 模型,Mistral モデル,,,,,,,,,
Mistral视觉模型名称，如：pixtral-12b-2409, mistral-large-latest,"Mistral vision model name, e.g., pixtral-12b-2409, mistral-large-latest",Mistral視覺模型名稱，如：pixtral-12b-2409, mistral-large-latest,,,,,,,,,
魔搭 API密钥,ModelScope API Key,魔搭 API密钥,魔搭 API金鑰,ModelScope APIキー,,,,,,,,,
请输入魔搭的访问令牌 (Access Token),Please enter ModelScope Access Token,請輸入魔搭的訪問令牌 (Access Token),ModelScopeのアクセストークンを入力してください,,,,,,,,,,
魔搭 模型,ModelScope Model,魔搭 模型,魔搭 模型,ModelScope モデル,,,,,,,,,
魔搭模型ID，如：Qwen/Qwen2.5-VL-72B-Instruct,qwen3-vl-235b-a22b-instruct,"ModelScope model ID, e.g., Qwen/Qwen2.5-VL-72B-Instruct,qwen3-vl-235b-a22b-instruct",魔搭模型ID，如：Qwen/Qwen2.5-VL-72B-Instruct,qwen3-vl-235b-a22b-instruct,,,,,,,,,
小米MiMo API密钥,Xiaomi MiMo API Key,小米MiMo API密钥,小米MiMo API金鑰,Xiaomi MiMo APIキー,,,,,,,,,
请输入小米MiMo平台的API密钥,Please enter Xiaomi MiMo API key,请输入小米MiMo平台的API密钥,請輸入小米MiMo平台的API金鑰,Xiaomi MiMoのAPIキーを入力してください,,,,,,,,,,
小米MiMo 模型,Xiaomi MiMo Model,小米MiMo 模型,小米MiMo 模型,Xiaomi MiMo モデル,,,,,,,,,
MiMo视觉模型名称，如：mimo-v2.5, mimo-v2-omni,"MiMo vision model name, e.g., mimo-v2.5, mimo-v2-omni",MiMo視覺模型名稱，如：mimo-v2.5, mimo-v2-omni,MiMoビジョンモデル名、例：mimo-v2.5, mimo-v2-omni,,,,,,,,,
浦源书生 API密钥,Intern API Key,浦源书生 API密钥,浦源書生 API金鑰,Intern APIキー,,,,,,,,,
请输入浦源书生的API密钥,Please enter Intern API key,請輸入浦源書生的API金鑰,InternのAPIキーを入力してください,,,,,,,,,,
浦源书生 模型,Intern Model,浦源书生 模型,浦源書生 模型,Intern モデル,,,,,,,,,
浦源书生多模态模型，如：internvl3.5-241b-a28b,Intern multimodal model,internvl3.5-241b-a28b, internvl3.5-241b-a28b,浦源書生多模態模型，如：internvl3.5-241b-a28b,,,,,,,,,
代理URL,Proxy URL,代理URL,代理URL,プロキシURL,,,,,,,,,
可选。格式：http://proxy:port 或 socks5://proxy:port,Optional. Format: http://proxy:port or socks5://proxy:port,可选。格式：http://proxy:port 或 socks5://proxy:port,可選。格式：http://proxy:port 或 socks5://proxy:port,オプション。形式：http://proxy:port または socks5://proxy:port,,,,,,,,,
最大并发数,Max Concurrent,最大并发数,最大並發數,最大同時実行数,,,,,,,,,
个,items,个,個,個,,,,,,,,,
批量处理时的最大并发请求数。,Maximum number of concurrent requests during batch processing.,批量处理时的最大并发请求数。,批量處理時的最大並發請求數。,バッチ処理時の最大同時リクエスト数。,,,,,,,,,
文字识别（AI OCR）,Text Recognition (AI OCR),文字识别（AI OCR）,文字識別（AI OCR）,文字認識（AI OCR）,,,,,,,,,
