Column1,Column2,Column3,Column4,Column5,列1,列2,列3,列4,列5,Column11,Column12,Column13,Column14
识别语言,Recognition Language,识别语言,識別語言,認識言語,,,,,,,,,
自动检测,Auto Detect,自动检测,自動檢測,自動検出,,,,,,,,,
中文,Chinese,中文,中文,中国語,,,,,,,,,
英文,English,英文,英文,英語,,,,,,,,,
日文,Japanese,日文,日文,日本語,,,,,,,,,
韩文,Korean,韩文,韓文,韓国語,,,,,,,,,
法文,French,法文,法文,フランス語,,,,,,,,,
德文,German,德文,德文,ドイツ語,,,,,,,,,
西班牙文,Spanish,西班牙文,西班牙文,スペイン語,,,,,,,,,
俄文,Russian,俄文,俄文,ロシア語,,,,,,,,,
阿拉伯文,Arabic,阿拉伯文,阿拉伯文,アラビア語,,,,,,,,,
指定要识别的文字语言。自动检测适用于大多数情况。,Specify the language of text to recognize. Auto detection works for most cases.,指定要识别的文字语言。自动检测适用于大多数情况。,指定要識別的文字語言。自動檢測適用於大多數情況。,認識するテキストの言語を指定します。自動検出はほとんどの場合に適用されます。,,,,,,,,,
输出格式,Output Format,输出格式,輸出格式,出力形式,,,,,,,,,
仅文字,Text Only,仅文字,僅文字,テキストのみ,,,,,,,,,
文字+坐标,Text + Coordinates,文字+坐标,文字+坐標,テキスト+座標,,,,,,,,,
选择OCR结果的输出格式。坐标信息可用于定位文字位置。,Select the output format for OCR results. Coordinate information can be used to locate text positions.,选择OCR结果的输出格式。坐标信息可用于定位文字位置。,選擇OCR結果的輸出格式。坐標信息可用於定位文字位置。,OCR結果の出力形式を選択します。座標情報はテキストの位置を特定するために使用できます。,,,,,,,,,
Markdown格式,Markdown Format,Markdown格式,Markdown格式,Markdown形式,,,,,,,,,
选择OCR结果的输出格式。坐标信息可用于定位文字位置。Markdown格式将直接输出AI返回的Markdown内容。,"Select the output format for OCR results. Coordinate information can be used to locate text positions. Markdown format will directly output AI-returned Markdown content.",选择OCR结果的输出格式。坐标信息可用于定位文字位置。Markdown格式将直接输出AI返回的Markdown内容。,選擇OCR結果的輸出格式。坐標信息可用於定位文字位置。Markdown格式將直接輸出AI返回的Markdown內容。,"OCR結果の出力形式を選択します。座標情報はテキストの位置を特定するために使用できます。Markdown形式はAIが返したMarkdownコンテンツを直接出力します。",,,,,,,,,
Markdown识别 Prompt,Markdown OCR Prompt,Markdown识别 Prompt,Markdown識別 Prompt,Markdown OCRプロンプト,,,,,,,,,
Markdown识别模式的提示词模板，{language}会被替换为当前识别语言。留空则使用默认模板。,Prompt template for Markdown mode. {language} will be replaced with the current recognition language. Leave empty to use the default template.,Markdown识别模式的提示词模板，{language}会被替换为当前识别语言。留空则使用默认模板。,Markdown識別模式的提示詞模板，{language}會被替換為當前識別語言。留空則使用默認模板。,Markdownモードのプロンプトテンプレート。{language}は現在の認識言語に置換されます。空欄の場合はデフォルトテンプレートを使用します。,,,,,,,,,
图像质量,Image Quality,图像质量,圖像質量,画像品質,,,,,,,,,
自动,Auto,自动,自動,自動,,,,,,,,,
高质量,High Quality,高质量,高質量,高品質,,,,,,,,,
中等质量,Medium Quality,中等质量,中等質量,中品質,,,,,,,,,
低质量,Low Quality,低质量,低質量,低品質,,,,,,,,,
图像压缩质量。高质量可能提高识别精度但增加传输时间。,Image compression quality. High quality may improve recognition accuracy but increase transmission time.,图像压缩质量。高质量可能提高识别精度但增加传输时间。,圖像壓縮質量。高質量可能提高識別精度但增加傳輸時間。,画像圧縮品質。高品質は認識精度を向上させる可能性がありますが、転送時間が増加します。,,,,,,,,,
最大图像尺寸,Max Image Size,最大图像尺寸,最大圖像尺寸,最大画像サイズ,,,,,,,,,
（推荐）,(Recommended),（推荐）,（推薦）,（推奨）,,,,,,,,,
图像的最大边长。过大的图像会被压缩以节省API调用成本。,Maximum side length of the image. Oversized images will be compressed to save API call costs.,图像的最大边长。过大的图像会被压缩以节省API调用成本。,圖像的最大邊長。過大的圖像會被壓縮以節省API調用成本。,画像の最大辺長。大きすぎる画像はAPI呼び出しコストを節約するために圧縮されます。,,,,,,,,,
Kimi API密钥,Kimi API Key,Kimi API密钥,Kimi API金鑰,Kimi APIキー,,,,,,,,,
请输入Kimi平台的API Key（从 https://platform.moonshot.cn 获取）,Please enter Kimi API key (from https://platform.moonshot.cn),请输入Kimi平台的API Key（从 https://platform.moonshot.cn 获取）,請輸入Kimi平台的API Key（從 https://platform.moonshot.cn 獲取）,KimiのAPIキーを入力してください（https://platform.moonshot.cn から取得）,,,,,,,,,
Kimi 模型,Kimi Model,Kimi 模型,Kimi 模型,Kimi モデル,,,,,,,,,
Kimi视觉模型名称，如：kimi-k2.6, kimi-k2.5, moonshot-v1-128k-vision-preview,Kimi vision model name, e.g., kimi-k2.6, kimi-k2.5, moonshot-v1-128k-vision-preview,Kimi视觉模型名称，如：kimi-k2.6, kimi-k2.5, moonshot-v1-128k-vision-preview,Kimi視覺模型名稱，如：kimi-k2.6, kimi-k2.5, moonshot-v1-128k-vision-preview,Kimiビジョンモデル名、例：kimi-k2.6, kimi-k2.5, moonshot-v1-128k-vision-preview,,,,,,,,,
Kimi API地址,Kimi API URL,Kimi API地址,Kimi API位址,Kimi API URL,,,,,,,,,
Kimi平台的API地址，默认：https://api.moonshot.cn/v1,Kimi API URL, default: https://api.moonshot.cn/v1,Kimi平台的API地址，默认：https://api.moonshot.cn/v1,Kimi平台的API位址，默認：https://api.moonshot.cn/v1,KimiのAPI URL、デフォルト：https://api.moonshot.cn/v1,,,,,,,,,
NVIDIA NIM API密钥,NVIDIA NIM API Key,NVIDIA NIM API密钥,NVIDIA NIM API金鑰,NVIDIA NIM APIキー,,,,,,,,,
请输入NVIDIA NIM的API Key（从 https://build.nvidia.com 获取）,Please enter NVIDIA NIM API key (from https://build.nvidia.com),请输入NVIDIA NIM的API Key（从 https://build.nvidia.com 获取）,請輸入NVIDIA NIM的API Key（從 https://build.nvidia.com 獲取）,NVIDIA NIMのAPIキーを入力してください（https://build.nvidia.com から取得）,,,,,,,,,
NVIDIA NIM 模型,NVIDIA NIM Model,NVIDIA NIM 模型,NVIDIA NIM 模型,NVIDIA NIM モデル,,,,,,,,,
NVIDIA NIM模型名称，如：moonshotai/kimi-k2.6,NVIDIA NIM model name, e.g., moonshotai/kimi-k2.6,NVIDIA NIM模型名称，如：moonshotai/kimi-k2.6,NVIDIA NIM模型名稱，如：moonshotai/kimi-k2.6,NVIDIA NIMモデル名、例：moonshotai/kimi-k2.6,,,,,,,,,
NVIDIA NIM API地址,NVIDIA NIM API URL,NVIDIA NIM API地址,NVIDIA NIM API位址,NVIDIA NIM API URL,,,,,,,,,
NVIDIA NIM的API地址，默认：https://integrate.api.nvidia.com/v1,NVIDIA NIM API URL, default: https://integrate.api.nvidia.com/v1,NVIDIA NIM的API地址，默认：https://integrate.api.nvidia.com/v1,NVIDIA NIM的API位址，默認：https://integrate.api.nvidia.com/v1,NVIDIA NIMのAPI URL、デフォルト：https://integrate.api.nvidia.com/v1,,,,,,,,,
PaddleOCR Token,PaddleOCR Token,PaddleOCR Token,PaddleOCR Token,PaddleOCR Token,,,,,,,,,
请输入AI Studio的Access Token（从 https://aistudio.baidu.com/account/accessToken 获取）,Please enter AI Studio Access Token (from https://aistudio.baidu.com/account/accessToken),请输入AI Studio的Access Token（从 https://aistudio.baidu.com/account/accessToken 获取）,請輸入AI Studio的Access Token（從 https://aistudio.baidu.com/account/accessToken 獲取）,AI StudioのAccess Tokenを入力してください（https://aistudio.baidu.com/account/accessToken から取得）,,,,,,,,,
PaddleOCR 模型,PaddleOCR Model,PaddleOCR 模型,PaddleOCR 模型,PaddleOCR モデル,,,,,,,,,
PaddleOCR模型名称，如：PP-OCRv6,PaddleOCR model name, e.g., PP-OCRv6,PaddleOCR模型名称，如：PP-OCRv6,PaddleOCR模型名稱，如：PP-OCRv6,PaddleOCRモデル名、例：PP-OCRv6,,,,,,,,,
PaddleOCR API地址,PaddleOCR API URL,PaddleOCR API地址,PaddleOCR API位址,PaddleOCR API URL,,,,,,,,,
PaddleOCR异步API基础地址，默认：https://paddleocr.aistudio-app.com,PaddleOCR async API base URL, default: https://paddleocr.aistudio-app.com,PaddleOCR异步API基础地址，默认：https://paddleocr.aistudio-app.com,PaddleOCR異步API基礎位址，默認：https://paddleocr.aistudio-app.com,PaddleOCR非同期APIベースURL、デフォルト：https://paddleocr.aistudio-app.com,,,,,,,,,
PaddleOCR-VL-1.6 Token,PaddleOCR-VL-1.6 Token,PaddleOCR-VL-1.6 Token,PaddleOCR-VL-1.6 Token,PaddleOCR-VL-1.6 Token,,,,,,,,,
PaddleOCR-VL-1.6 模型,PaddleOCR-VL-1.6 Model,PaddleOCR-VL-1.6 模型,PaddleOCR-VL-1.6 模型,PaddleOCR-VL-1.6 モデル,,,,,,,,,
PaddleOCR-VL-1.6模型名称，如：PaddleOCR-VL-1.6,PaddleOCR-VL-1.6 model name, e.g., PaddleOCR-VL-1.6,PaddleOCR-VL-1.6模型名称，如：PaddleOCR-VL-1.6,PaddleOCR-VL-1.6模型名稱，如：PaddleOCR-VL-1.6,PaddleOCR-VL-1.6モデル名、例：PaddleOCR-VL-1.6,,,,,,,,,
PaddleOCR-VL-1.6 API地址,PaddleOCR-VL-1.6 API URL,PaddleOCR-VL-1.6 API地址,PaddleOCR-VL-1.6 API位址,PaddleOCR-VL-1.6 API URL,,,,,,,,,
PaddleOCR-VL-1.6异步API基础地址，默认：https://paddleocr.aistudio-app.com,PaddleOCR-VL-1.6 async API base URL, default: https://paddleocr.aistudio-app.com,PaddleOCR-VL-1.6异步API基础地址，默认：https://paddleocr.aistudio-app.com,PaddleOCR-VL-1.6異步API基礎位址，默認：https://paddleocr.aistudio-app.com,PaddleOCR-VL-1.6非同期APIベースURL、デフォルト：https://paddleocr.aistudio-app.com,,,,,,,,,
PP-StructureV3 Token,PP-StructureV3 Token,PP-StructureV3 Token,PP-StructureV3 Token,PP-StructureV3 Token,,,,,,,,,
PP-StructureV3 模型,PP-StructureV3 Model,PP-StructureV3 模型,PP-StructureV3 模型,PP-StructureV3 モデル,,,,,,,,,
PP-StructureV3模型名称，如：PP-StructureV3,PP-StructureV3 model name, e.g., PP-StructureV3,PP-StructureV3模型名称，如：PP-StructureV3,PP-StructureV3模型名稱，如：PP-StructureV3,PP-StructureV3モデル名、例：PP-StructureV3,,,,,,,,,
PP-StructureV3 API地址,PP-StructureV3 API URL,PP-StructureV3 API地址,PP-StructureV3 API位址,PP-StructureV3 API URL,,,,,,,,,
PP-StructureV3异步API基础地址，默认：https://paddleocr.aistudio-app.com,PP-StructureV3 async API base URL, default: https://paddleocr.aistudio-app.com,PP-StructureV3异步API基础地址，默认：https://paddleocr.aistudio-app.com,PP-StructureV3異步API基礎位址，默認：https://paddleocr.aistudio-app.com,PP-StructureV3非同期APIベースURL、デフォルト：https://paddleocr.aistudio-app.com,,,,,,,,,
并发识别数,Concurrent Recognition,并发识别数,並發識別數,同時認識数,,,,,,,,,
并发向AI发送识别请求，提升总体速度。PaddleOCR异步模式下建议设为5-10。,Send OCR requests to AI concurrently to improve overall speed. Recommended 5-10 for PaddleOCR async mode.,并发向AI发送识别请求，提升总体速度。PaddleOCR异步模式下建议设为5-10。,並發向AI發送識別請求，提升總體速度。PaddleOCR異步模式下建議設為5-10。,AIにOCRリクエストを同時送信して全体の速度を向上。PaddleOCR非同期モードでは5-10を推奨。,,,,,,,,,
Longcat AI API密钥,Longcat AI API Key,Longcat AI API密钥,Longcat AI API金鑰,Longcat AI APIキー,,,,,,,,,
请输入Longcat AI平台的API Key（从 https://longcat.chat/platform/api_keys 获取）,Please enter Longcat AI API Key (from https://longcat.chat/platform/api_keys),请输入Longcat AI平台的API Key（从 https://longcat.chat/platform/api_keys 获取）,請輸入Longcat AI平台的API Key（從 https://longcat.chat/platform/api_keys 獲取）,Longcat AIのAPIキーを入力してください（https://longcat.chat/platform/api_keys から取得）,,,,,,,,,
Longcat AI 模型,Longcat AI Model,Longcat AI 模型,Longcat AI 模型,Longcat AI モデル,,,,,,,,,
Longcat AI模型名称，如：LongCat-Flash-Chat, LongCat-Flash-Thinking, LongCat-Flash-Lite,Longcat AI model name, e.g., LongCat-Flash-Chat, LongCat-Flash-Thinking, LongCat-Flash-Lite,Longcat AI模型名称，如：LongCat-Flash-Chat, LongCat-Flash-Thinking, LongCat-Flash-Lite,Longcat AI模型名稱，如：LongCat-Flash-Chat, LongCat-Flash-Thinking, LongCat-Flash-Lite,Longcat AIモデル名、例：LongCat-Flash-Chat, LongCat-Flash-Thinking, LongCat-Flash-Lite,,,,,,,,,
Longcat AI API地址,Longcat AI API URL,Longcat AI API地址,Longcat AI API位址,Longcat AI API URL,,,,,,,,,
Longcat AI的API地址，默认：https://api.longcat.chat/openai/v1,Longcat AI API URL, default: https://api.longcat.chat/openai/v1,Longcat AI的API地址，默认：https://api.longcat.chat/openai/v1,Longcat AI的API位址，默認：https://api.longcat.chat/openai/v1,Longcat AIのAPI URL、デフォルト：https://api.longcat.chat/openai/v1,,,,,,,,,
llama.cpp API密钥,llama.cpp API Key,llama.cpp API密钥,llama.cpp API金鑰,llama.cpp APIキー,,,,,,,,,
可留空。如启动llama.cpp服务时设置了 --api-key，请在此填写对应密钥。,"Leave empty. If you set --api-key when starting llama.cpp server, enter the key here.",可留空。如启动llama.cpp服务时设置了 --api-key，请在此填写对应密钥。,可留空。如啟動llama.cpp服務時設置了 --api-key，請在此填寫對應密鑰。,空欄可。llama.cppサーバー起動時に --api-key を設定した場合は、ここに入力してください。,,,,,,,,,
llama.cpp 模型,llama.cpp Model,llama.cpp 模型,llama.cpp 模型,llama.cpp モデル,,,,,,,,,
llama.cpp加载的模型名称，可通过 /v1/models 端点查询。,"Model name loaded by llama.cpp, queryable via /v1/models endpoint.",llama.cpp加载的模型名称，可通过 /v1/models 端点查询。,llama.cpp加載的模型名稱，可通過 /v1/models 端點查詢。,llama.cppで読み込まれたモデル名。/v1/models エンドポイントで確認可能。,,,,,,,,,
llama.cpp API地址,llama.cpp API URL,llama.cpp API地址,llama.cpp API位址,llama.cpp API URL,,,,,,,,,
llama.cpp本地服务的API地址，默认为 http://localhost:8080/v1,llama.cpp local service API URL, default: http://localhost:8080/v1,llama.cpp本地服务的API地址，默认为 http://localhost:8080/v1,llama.cpp本地服務的API位址，默認為 http://localhost:8080/v1,llama.cppローカルサービスのAPI URL、デフォルト：http://localhost:8080/v1,,,,,,,,,

